what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1518691684260
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1518691684260
os,sysinfo,,,"win32",1518691684294
arch,sysinfo,,,"x86_64",1518691684294
ws,sysinfo,,,"win32",1518691684294
locale,sysinfo,,,"en_US",1518691684294
processors,sysinfo,,,"4",1518691684294
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1518691684294
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1518691684295
java.specification.name,sysinfo,,,"Java Platform API Specification",1518691684295
java.specification.vendor,sysinfo,,,"Oracle Corporation",1518691684295
java.specification.version,sysinfo,,,"1.7",1518691684295
java.vendor,sysinfo,,,"Oracle Corporation",1518691684295
java.version,sysinfo,,,"1.7.0_79",1518691684295
java.vm.info,sysinfo,,,"mixed mode",1518691684295
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1518691684295
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1518691684295
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1518691684295
java.vm.specification.version,sysinfo,,,"1.7",1518691684295
java.vm.vendor,sysinfo,,,"Oracle Corporation",1518691684295
java.vm.version,sysinfo,,,"24.79-b02",1518691684295
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1518691684315
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1518691685097
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1518691685394
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1518691686559
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1518691686686
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1518691687068
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1518691687815
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1518691688124
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1518691690666
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1518691698103
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1518691698460
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1518691698764
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1518691699333
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1518691699716
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1518691700499
